Unix,TimeStamp,GSR,BPM,RRI,HF,LF,HF(%),LF(%)
1498204026.738406,16476,541,81,742.47,0,0,0.0,0.0
1498204026.926789,16476,541,81,742.47,0,0,0.0,0.0
1498204027.106255,16477,541,81,742.47,0,0,0.0,0.0
1498204027.3016,16477,543,71,847.93,531.016697685,629.510764869,0.4576,0.5424
1498204027.497432,16477,544,71,847.93,531.016697685,629.510764869,0.4576,0.5424
1498204027.679346,16477,540,71,847.93,531.016697685,629.510764869,0.4576,0.5424
1498204027.873668,16477,541,71,847.93,531.016697685,629.510764869,0.4576,0.5424
1498204028.055925,16478,543,79,759.31,504.643880874,737.448730941,0.4063,0.5937
1498204028.254013,16478,543,79,759.31,504.643880874,737.448730941,0.4063,0.5937
1498204028.447155,16478,544,79,759.31,504.643880874,737.448730941,0.4063,0.5937
1498204028.632488,16478,542,79,759.31,504.643880874,737.448730941,0.4063,0.5937
1498204028.82572,16478,540,79,759.31,504.643880874,737.448730941,0.4063,0.5937
1498204029.025327,16479,544,62,960.81,554.265971939,563.480361701,0.4959,0.5041
1498204029.223403,16479,543,62,960.81,554.265971939,563.480361701,0.4959,0.5041
1498204029.418485,16479,543,62,960.81,554.265971939,563.480361701,0.4959,0.5041
1498204029.615143,16479,541,62,960.81,554.265971939,563.480361701,0.4959,0.5041
1498204029.799115,16479,543,77,782.71,540.864371527,547.871761874,0.4968,0.5032
1498204029.997763,16479,543,77,782.71,540.864371527,547.871761874,0.4968,0.5032
1498204030.186274,164710,541,77,782.71,540.864371527,547.871761874,0.4968,0.5032
1498204030.381007,164710,543,77,782.71,540.864371527,547.871761874,0.4968,0.5032
1498204030.587541,164710,559,77,782.05,502.709346752,539.039002861,0.4826,0.5174
1498204030.781976,164710,545,77,782.05,502.709346752,539.039002861,0.4826,0.5174
1498204030.972724,164710,541,77,782.05,502.709346752,539.039002861,0.4826,0.5174
1498204031.172041,164711,541,77,782.05,502.709346752,539.039002861,0.4826,0.5174
1498204031.372515,164711,542,77,782.05,502.709346752,539.039002861,0.4826,0.5174
1498204031.568028,164711,543,61,981.35,366.692290133,683.493791144,0.3492,0.6508
